t, I
08/02/2013 00:00,	425
09/02/2013 00:00,	341
10/02/2013 00:00,	456
11/02/2013 00:00,	393
12/02/2013 00:00,	454
13/02/2013 00:00,	512
14/02/2013 00:00,	484
15/02/2013 00:00,	469
16/02/2013 00:00,	371
17/02/2013 00:00,	426
18/02/2013 00:00,	408
19/02/2013 00:00,	520
20/02/2013 00:00,	585
21/02/2013 00:00,	597
22/02/2013 00:00,	468
23/02/2013 00:00,	330
24/02/2013 00:00,	332
25/02/2013 00:00,	367
26/02/2013 00:00,	363
27/02/2013 00:00,	524
28/02/2013 00:00,	433
01/03/2013 00:00,	489
02/03/2013 00:00,	408
03/03/2013 00:00,	525
04/03/2013 00:00,	379
05/03/2013 00:00,	544
06/03/2013 00:00,	534
07/03/2013 00:00,	585
08/03/2013 00:00,	564
09/03/2013 00:00,	490
10/03/2013 00:00,	576
11/03/2013 00:00,	902
12/03/2013 00:00,	803
13/03/2013 00:00,	838
14/03/2013 00:00,	953
15/03/2013 00:00,	882
16/03/2013 00:00,	797
17/03/2013 00:00,	844
18/03/2013 00:00,	769
19/03/2013 00:00,	779
20/03/2013 00:00,	911
21/03/2013 00:00,	1154
22/03/2013 00:00,	1083
23/03/2013 00:00,	912
24/03/2013 00:00,	868
25/03/2013 00:00,	1130
26/03/2013 00:00,	1191
27/03/2013 00:00,	1619
28/03/2013 00:00,	1587
29/03/2013 00:00,	1197
30/03/2013 00:00,	964
31/03/2013 00:00,	1119
01/04/2013 00:00,	1163
02/04/2013 00:00,	1350
03/04/2013 00:00,	1383
04/04/2013 00:00,	1457
05/04/2013 00:00,	1654
06/04/2013 00:00,	1388
07/04/2013 00:00,	1688
08/04/2013 00:00,	1369
09/04/2013 00:00,	1685
10/04/2013 00:00,	1682
11/04/2013 00:00,	1814
12/04/2013 00:00,	1752
13/04/2013 00:00,	1666
14/04/2013 00:00,	1641
15/04/2013 00:00,	1554
16/04/2013 00:00,	1483
17/04/2013 00:00,	1737
18/04/2013 00:00,	1948
19/04/2013 00:00,	2281
20/04/2013 00:00,	2456
21/04/2013 00:00,	2542
22/04/2013 00:00,	2523
23/04/2013 00:00,	2711
24/04/2013 00:00,	2174
25/04/2013 00:00,	2782
26/04/2013 00:00,	2889
27/04/2013 00:00,	3170
28/04/2013 00:00,	2359
29/04/2013 00:00,	1964
30/04/2013 00:00,	2002
01/05/2013 00:00,	2036
02/05/2013 00:00,	2244
03/05/2013 00:00,	2309
04/05/2013 00:00,	2474
05/05/2013 00:00,	3539
06/05/2013 00:00,	3435
07/05/2013 00:00,	3908
08/05/2013 00:00,	3466
09/05/2013 00:00,	2827
10/05/2013 00:00,	3596
11/05/2013 00:00,	4969
12/05/2013 00:00,	4851
13/05/2013 00:00,	4522
14/05/2013 00:00,	4381
15/05/2013 00:00,	5794
16/05/2013 00:00,	5683
17/05/2013 00:00,	3747
18/05/2013 00:00,	3878
19/05/2013 00:00,	3683
20/05/2013 00:00,	5690
21/05/2013 00:00,	6706
22/05/2013 00:00,	2887
23/05/2013 00:00,	4948
24/05/2013 00:00,	5318
25/05/2013 00:00,	5417
26/05/2013 00:00,	4858
27/05/2013 00:00,	5844
28/05/2013 00:00,	6923
29/05/2013 00:00,	5844
30/05/2013 00:00,	2562
31/05/2013 00:00,	3482
01/06/2013 00:00,	3986
02/06/2013 00:00,	3690
03/06/2013 00:00,	3817
04/06/2013 00:00,	4184
05/06/2013 00:00,	3879
06/06/2013 00:00,	3639
07/06/2013 00:00,	4170
08/06/2013 00:00,	4151
09/06/2013 00:00,	3234
10/06/2013 00:00,	5071
11/06/2013 00:00,	4320
12/06/2013 00:00,	4544
13/06/2013 00:00,	3786
14/06/2013 00:00,	3529
15/06/2013 00:00,	3924
16/06/2013 00:00,	3790
17/06/2013 00:00,	3540
18/06/2013 00:00,	4710
19/06/2013 00:00,	4591
20/06/2013 00:00,	14060
21/06/2013 00:00,	14433
22/06/2013 00:00,	12573
23/06/2013 00:00,	9446
24/06/2013 00:00,	11070
25/06/2013 00:00,	11313
26/06/2013 00:00,	10961
27/06/2013 00:00,	9730
28/06/2013 00:00,	8874
29/06/2013 00:00,	10069
30/06/2013 00:00,	10488
01/07/2013 00:00,	10861
02/07/2013 00:00,	12089
03/07/2013 00:00,	9884
04/07/2013 00:00,	9884
05/07/2013 00:00,	9884
06/07/2013 00:00,	9884
07/07/2013 00:00,	9884
08/07/2013 00:00,	9884
09/07/2013 00:00,	9884
10/07/2013 00:00,	7678
11/07/2013 00:00,	9961
12/07/2013 00:00,	10227
13/07/2013 00:00,	8728
14/07/2013 00:00,	7217
15/07/2013 00:00,	9070
16/07/2013 00:00,	6687
17/07/2013 00:00,	7971
18/07/2013 00:00,	7491
19/07/2013 00:00,	9225
20/07/2013 00:00,	6769
21/07/2013 00:00,	9302
22/07/2013 00:00,	6614
23/07/2013 00:00,	7561
24/07/2013 00:00,	7686
25/07/2013 00:00,	7210
26/07/2013 00:00,	8655
27/07/2013 00:00,	9160
28/07/2013 00:00,	8675
29/07/2013 00:00,	7245
30/07/2013 00:00,	8104
31/07/2013 00:00,	6819
01/08/2013 00:00,	5947
02/08/2013 00:00,	5490
03/08/2013 00:00,	4535
04/08/2013 00:00,	4459
05/08/2013 00:00,	3570
06/08/2013 00:00,	5227
07/08/2013 00:00,	3074
08/08/2013 00:00,	5816
09/08/2013 00:00,	6044
10/08/2013 00:00,	2303
11/08/2013 00:00,	2568
12/08/2013 00:00,	1779
13/08/2013 00:00,	5157
14/08/2013 00:00,	5146
15/08/2013 00:00,	3994
16/08/2013 00:00,	4673
17/08/2013 00:00,	5308
18/08/2013 00:00,	3047
19/08/2013 00:00,	4524
20/08/2013 00:00,	3507
21/08/2013 00:00,	3850
22/08/2013 00:00,	3749
23/08/2013 00:00,	3246
24/08/2013 00:00,	5857
25/08/2013 00:00,	6067
26/08/2013 00:00,	5349
27/08/2013 00:00,	6824
28/08/2013 00:00,	7533
29/08/2013 00:00,	7739
30/08/2013 00:00,	7555
31/08/2013 00:00,	6644
01/09/2013 00:00,	3286
02/09/2013 00:00,	2286
03/09/2013 00:00,	1225
04/09/2013 00:00,	4391
05/09/2013 00:00,	4488
06/09/2013 00:00,	3892
07/09/2013 00:00,	2831
08/09/2013 00:00,	2097
09/09/2013 00:00,	3169
10/09/2013 00:00,	3908
11/09/2013 00:00,	3151
12/09/2013 00:00,	2933
13/09/2013 00:00,	1081
14/09/2013 00:00,	1933
15/09/2013 00:00,	1982
16/09/2013 00:00,	2535
17/09/2013 00:00,	584
18/09/2013 00:00,	2374
19/09/2013 00:00,	1462
20/09/2013 00:00,	2685
21/09/2013 00:00,	1599
22/09/2013 00:00,	226
23/09/2013 00:00,	1327
24/09/2013 00:00,	3608
25/09/2013 00:00,	3096
26/09/2013 00:00,	430
27/09/2013 00:00,	1558
28/09/2013 00:00,	1357
29/09/2013 00:00,	1157
30/09/2013 00:00,	168
01/10/2013 00:00,	278
02/10/2013 00:00,	102
03/10/2013 00:00,	209
04/10/2013 00:00,	161
05/10/2013 00:00,	502
06/10/2013 00:00,	236
07/10/2013 00:00,	1886
08/10/2013 00:00,	575
09/10/2013 00:00,	420
10/10/2013 00:00,	567
11/10/2013 00:00,	964
12/10/2013 00:00,	440
13/10/2013 00:00,	249
14/10/2013 00:00,	248
15/10/2013 00:00,	85
16/10/2013 00:00,	140
17/10/2013 00:00,	81
18/10/2013 00:00,	69
19/10/2013 00:00,	3657
20/10/2013 00:00,	2080
21/10/2013 00:00,	1263
22/10/2013 00:00,	16
23/10/2013 00:00,	4626
24/10/2013 00:00,	5482
25/10/2013 00:00,	4780
26/10/2013 00:00,	4318
27/10/2013 00:00,	4795
28/10/2013 00:00,	4233
29/10/2013 00:00,	4339
30/10/2013 00:00,	3701
31/10/2013 00:00,	3796
01/11/2013 00:00,	3894
02/11/2013 00:00,	4707
03/11/2013 00:00,	5017
04/11/2013 00:00,	3858
05/11/2013 00:00,	4752
06/11/2013 00:00,	4100
07/11/2013 00:00,	4651
08/11/2013 00:00,	4649
09/11/2013 00:00,	4812
10/11/2013 00:00,	4659
11/11/2013 00:00,	4613
12/11/2013 00:00,	3938
13/11/2013 00:00,	2895
14/11/2013 00:00,	4148
15/11/2013 00:00,	3805
16/11/2013 00:00,	4065
17/11/2013 00:00,	4313
18/11/2013 00:00,	4232
19/11/2013 00:00,	3981
20/11/2013 00:00,	3847
21/11/2013 00:00,	3851
22/11/2013 00:00,	3679
23/11/2013 00:00,	3962
24/11/2013 00:00,	4104
25/11/2013 00:00,	3906
26/11/2013 00:00,	3689
27/11/2013 00:00,	3695
28/11/2013 00:00,	3738
29/11/2013 00:00,	3505
30/11/2013 00:00,	3645
01/12/2013 00:00,	3636
02/12/2013 00:00,	3585
03/12/2013 00:00,	3532
04/12/2013 00:00,	3573
05/12/2013 00:00,	3566
06/12/2013 00:00,	3382
07/12/2013 00:00,	3537
08/12/2013 00:00,	3639
09/12/2013 00:00,	3532
10/12/2013 00:00,	3309
11/12/2013 00:00,	3345
12/12/2013 00:00,	3214
13/12/2013 00:00,	3294
14/12/2013 00:00,	3263
15/12/2013 00:00,	3370
16/12/2013 00:00,	3489
17/12/2013 00:00,	3323
18/12/2013 00:00,	3023
19/12/2013 00:00,	2986
20/12/2013 00:00,	3032
21/12/2013 00:00,	3171
22/12/2013 00:00,	3149
23/12/2013 00:00,	3183
24/12/2013 00:00,	3143
25/12/2013 00:00,	2992
26/12/2013 00:00,	3272
27/12/2013 00:00,	3107
28/12/2013 00:00,	3177
29/12/2013 00:00,	3148
30/12/2013 00:00,	3493
31/12/2013 00:00,	3248
01/01/2014 00:00,	2875
02/01/2014 00:00,	3482
03/01/2014 00:00,	3308
04/01/2014 00:00,	3263
05/01/2014 00:00,	3349
06/01/2014 00:00,	3376
07/01/2014 00:00,	3135
08/01/2014 00:00,	3293
09/01/2014 00:00,	3170
10/01/2014 00:00,	2857
11/01/2014 00:00,	3109
12/01/2014 00:00,	3415
13/01/2014 00:00,	3070
14/01/2014 00:00,	3078
15/01/2014 00:00,	3072
16/01/2014 00:00,	3006